Customer ID,Name,Age,Gender,Email,Address,Customer Segment
4384,Jessica Gonzalez,32,Female,jennifer46@haas.biz,"77395 Lisa Curve Suite 718
Lake Richardshire, NH 38551",VIP
2942,Katherine Jones,43,Female,tanyachavez@lawson.info,"720 Jessica Wall Apt. 811
East Bradymouth, MO 38304",VIP
9458,Eric Jones,39,Female,hornfrank@frost.com,"960 Mark Ridge Suite 882
Greenland, SC 03298",New
3503,Pamela Myers,67,Female,gdickerson@gmail.com,"1173 Amanda Parkways Apt. 958
Port Calvin, NM 01791",New
6513,Katherine Henry,68,Female,dominiccabrera@yahoo.com,"2326 Heather Grove Suite 448
Port Cheyenneport, SC 14635",New
8528,Charles Gonzales,30,Other,lindsay20@hotmail.com,"14633 April Knolls Suite 366
Port Brandonfort, AL 68789",Regular
3619,Amanda Mendoza,68,Other,palmermichael@gmail.com,"23118 Jesse Ville Apt. 596
Lake Elizabethburgh, ID 22778",Regular
3640,Cynthia Ali,20,Other,wguzman@murphy.com,"49916 Lee Street
New Aaronland, MS 72836",VIP
1914,Richard Smith,44,Female,rberry@allison.org,"7170 Manning Junctions Apt. 650
West Marthaton, DC 71513",Regular
2951,Terri Thompson,39,Male,opeters@gmail.com,"0034 Castillo Coves Apt. 765
Christopherberg, MS 44756",VIP
1739,Thomas Avila,67,Male,rschmidt@moore-garrett.com,"086 Robin Centers Apt. 015
Jonestown, CT 98267",Regular
3509,Margaret Ryan,20,Other,christopher73@hotmail.com,"660 George Estates Suite 904
Whitefort, IN 65721",New
2361,Donald Garcia,20,Female,ricardo83@yahoo.com,"0624 Kelly Mountain
Lake Russellburgh, KS 06328",New
1071,Nathan Young,56,Male,josewilliams@weaver.com,"77411 David Islands Apt. 611
Roseville, DE 24847",VIP
6015,James Ayala,34,Female,webbjulie@barber-stewart.info,"651 Hill Light
Melissaland, AL 96666",Regular
8564,Melissa Cunningham,35,Male,shannonfrancis@hotmail.com,"7230 Winters Crest
Garciafort, NV 60709",New
9000,Michael Bryan,62,Female,brianna58@yahoo.com,"Unit 0610 Box 8404
DPO AE 60573",Regular
5498,Debra Todd,48,Male,scott27@gmail.com,"5942 Nichols Summit
Melindatown, ID 63346",New
7875,Jeremiah Smith,26,Female,vbridges@noble.com,"0729 Miles Locks Suite 726
Matthewstad, LA 02538",VIP
4309,Christopher Townsend,50,Male,tara26@murillo.com,"PSC 8954, Box 9173
APO AA 79496",VIP
6344,Patricia Martinez,21,Other,andrew39@gmail.com,"8882 Peck Fort
South Michelleland, WY 95155",Regular
2340,Robert Hall,30,Other,drivers@chan.com,"18517 Theresa Circle Suite 284
East Margaretshire, VT 19041",VIP
4771,Todd Bowen,23,Female,cvalenzuela@gmail.com,"893 Martin Stravenue Apt. 426
South Kara, GA 28600",Regular
6852,Sandra Reed,45,Other,thomaslori@jones-palmer.com,"0327 Denise Shores
Jasminville, MN 60947",VIP
6964,Katherine Mcbride,34,Female,amy52@schmidt.com,"08769 Brianna Vista Suite 414
Lewisville, HI 02117",New
4678,Kenneth Mitchell,31,Female,sparksgloria@yahoo.com,"32534 Coleman Walks Apt. 820
South Desiree, NJ 70991",New
4538,Brandon Leach,67,Male,nicholasfranklin@herrera.com,"729 Tonya Vista Apt. 696
New Micheleburgh, OK 67686",New
1600,Robert Tanner,23,Other,jennifer11@evans.info,"87645 Justin Meadow Suite 609
South Tammy, NE 55483",VIP
4713,Jessica Benjamin,35,Male,samanthacross@brewer.com,"516 Young Lake Apt. 478
Jacobland, CO 86325",Regular
7648,Leah Anderson DDS,29,Male,kwilliams@cole.com,"20720 Fitzgerald Locks
South Cole, NJ 79203",Regular
1978,Willie Ramos,66,Female,bergsandra@gates-bradshaw.com,"576 Nancy Station
New Gregory, VT 21650",VIP
7983,Scott Parker,67,Male,gabriellaroberts@hayes.com,"692 Cruz Pass Apt. 956
Farleyborough, RI 30817",Regular
1221,Philip Moore,62,Other,christopher02@gmail.com,"415 James Plains
South Aaron, OH 01838",VIP
4122,Andrea Alvarado,70,Female,castrojulia@gmail.com,"877 Ward Drive
Theresabury, CT 60142",VIP
1547,Jennifer Black,30,Male,smithmark@miller.com,"349 Sutton Tunnel
North Lonnieland, TN 77930",VIP
5895,Mr. Robert Walker,70,Other,carla95@marshall.info,"75060 Salazar Point Suite 875
Mathewsbury, WI 04961",VIP
6493,Brad Flores,57,Male,courtney03@yahoo.com,"5396 Edward Glens
Savannahville, ID 40695",VIP
3240,Joseph Walker,62,Male,pamelamccoy@yahoo.com,"134 Rollins Underpass
Chavezview, OH 79938",VIP
6032,Lisa Douglas,62,Female,pachecoashley@collins-chang.com,"19682 Crystal Ridge Apt. 194
New Jodyfurt, VA 81493",New
3931,Jeffrey Jackson,25,Other,milleramy@yahoo.com,"PSC 7384, Box 2657
APO AP 67797",VIP
7032,Richard Schmitt,33,Other,youngallison@harrison.com,"0094 Diana Prairie
Nicholastown, NC 96231",VIP
6111,Barbara Hopkins,30,Other,navarrohenry@davis.net,"5736 Mendoza Brook
Andradeborough, FL 16676",Regular
9517,Ryan Powell,48,Other,davidtran@gmail.com,"932 Bonnie Fork
Cobbland, PA 29753",New
5704,Evelyn Lester,23,Male,michelle67@gmail.com,"746 Miller Trail
Jamesstad, TN 11955",Regular
5749,George Nixon,33,Female,amandaowen@carroll.com,"7791 Moore Terrace Apt. 329
East Jenniferfort, IL 45846",VIP
9008,Jeffrey Perez,28,Other,clarkcharles@yahoo.com,"18603 Cheryl Orchard
South Ronald, NV 79721",VIP
2106,Bailey Krueger,43,Male,anthonyjuarez@schmidt.org,"0212 Jennifer Underpass Suite 987
Lake Kenneth, HI 03839",New
9693,Patrick Smith,27,Male,samuel93@hotmail.com,"39016 Brown Shore
Lake David, ME 07286",VIP
4634,Angela Mitchell,41,Female,tammyortiz@yahoo.com,"40437 Brown Trace Suite 582
Pollardport, DC 92294",New
7696,Kimberly Long,37,Other,lori79@gmail.com,"Unit 2595 Box 1708
DPO AP 75325",Regular
8465,April Walker,68,Male,justinprice@jones.com,"8746 Bullock Lake Suite 353
Silvatown, WI 07203",New
2111,Tina Reed,55,Male,jeffrey07@yahoo.com,"Unit 7702 Box 4807
DPO AP 07962",New
5941,Brittany Mitchell,41,Other,escobartara@gmail.com,"6708 Anthony Spurs Apt. 496
Nathanhaven, GA 00726",Regular
5705,Bryan Barnett,57,Other,barronalexis@yahoo.com,"801 Vincent Lodge Suite 435
Danielfurt, IL 04256",VIP
1869,Scott Smith,46,Male,tanya65@hotmail.com,"Unit 3573 Box 7085
DPO AA 21416",New
1477,Joshua Meyer,42,Other,jared86@smith.biz,"444 Ashley Oval
Carolynborough, KS 72338",VIP
3627,Daniel Williams,19,Other,adamhicks@williams.org,"313 Hays Harbors
South Shari, MI 05991",Regular
6754,Jennifer Mcintosh,53,Male,kylestanley@ho.com,"USCGC Johnson
FPO AP 71069",New
4609,Molly Robinson,49,Male,katherine44@wilkinson-stephens.com,"30509 Meredith Spur Apt. 599
Guzmanborough, ID 55181",Regular
5860,Jim Bender,62,Female,wolferobert@bailey-newton.com,"7858 Watkins Cape
Farrellmouth, AR 51284",Regular
